Quantify Compound Summary Report 

Printed Wed Jan 29 15:23:46 2025

Compound 1:  MITRAGYNINE

	#	Name	Type	Vial	Std. Conc	RT	Area	IS Area	Area Ratio	Response	Conc.	%Dev	Subject Text	S/N	Summary Flag Reason
5	5	08122019_Mitragynine_Oral_13point5_CS3	Standard	2:A,3	10.000	3.13	158363			158362.938	9.81	-1.9		2657260.000	
6	6	08122019_Mitragynine_Oral_13point5_CS4	Standard	2:A,4	10.000	3.13	165536			165535.563	10.26	2.6		2792534.000	
7	7	08122019_Mitragynine_Oral_13point5_CS5	Standard	2:A,5	10.000	3.13	158054			158053.516	9.79	-2.1		577336.422	
8	8	08122019_Mitragynine_Oral_13point5_CS6	Standard	2:A,6	10.000	3.13	162424			162423.563	10.06	0.6		2734114.000	
9	9	08122019_Mitragynine_Oral_13point5_CS7	Standard	2:A,7	10.000	3.13	159296			159295.828	9.87	-1.3		2676148.000	
10	10	08122019_Mitragynine_Oral_13point5_CS8	Standard	2:A,8	10.000	3.13	157756			157756.375	9.77	-2.3		2651266.000	
11	11	08122019_Mitragynine_Oral_13point5_CS0_ISAfter		2:H,10	10.000	3.13	160024			160023.859	9.91	-0.9		2677341.000	
12	12	08122019_Mitragynine_Oral_13point5_CS0_After		2:H,9	10.000	3.02	163			163.376	0.01	-99.9		807.000	
13	13	08122019_Mitragynine_Oral_13point5_LLOQ1	QC	2:A,9	10.000	3.14	159104			159104.453	9.86	-1.4		259508.066	
14	14	08122019_Mitragynine_Oral_13point5_LQC1	QC	2:A,10	10.000	3.13	160122			160122.250	9.92	-0.8		2692152.000	
15	15	08122019_Mitragynine_Oral_13point5_MQC1	QC	2:A,11	10.000	3.13	157004			157003.734	9.73	-2.7		2642050.000	
16	16	08122019_Mitragynine_Oral_13point5_HQC1	QC	2:A,12	10.000	3.13	162136			162136.234	10.04	0.4		2741053.000	
17	17	08122019_Mitragynine_Oral_13point5_LLOQ2	QC	2:B,1	10.000	3.13	164793			164793.078	10.21	2.1		2766730.000	
18	18	08122019_Mitragynine_Oral_13point5_LQC2	QC	2:B,2	10.000	3.14	158846			158846.125	9.84	-1.6		2638661.000	
19	19	08122019_Mitragynine_Oral_13point5_MQC2	QC	2:B,3	10.000	3.13	151639			151639.016	9.39	-6.1		2527297.000	
20	20	08122019_Mitragynine_Oral_13point5_HQC2	QC	2:B,4	10.000	3.13	150644			150643.781	9.33	-6.7		2493931.000	
21	21	08122019_Mitragynine_Oral_13point5_LLOQ3	QC	2:B,5	10.000	3.14	143846			143846.266	8.91	-10.9		1981961.506	
22	22	08122019_Mitragynine_Oral_13point5_LQC3	QC	2:B,6	10.000	3.13	146753			146753.297	9.09	-9.1		2415537.000	
23	23	08122019_Mitragynine_Oral_13point5_MQC3	QC	2:B,7	10.000	3.13	146919			146918.672	9.10	-9.0		2423950.000	
24	24	08122019_Mitragynine_Oral_13point5_HQC3	QC	2:B,8	10.000	3.14	144225			144225.391	8.93	-10.7		2387352.000	
25	25	08122019_Mitragynine_Oral_13point5_LLOQ4	QC	2:B,9	10.000	3.14	142853			142853.016	8.85	-11.5		2360148.000	
26	26	08122019_Mitragynine_Oral_13point5_LQC4	QC	2:B,10	10.000	3.14	145714			145713.594	9.03	-9.7		2418256.000	
27	27	08122019_Mitragynine_Oral_13point5_MQC4	QC	2:B,11	10.000	3.14	141583			141582.594	8.77	-12.3		2346582.000	
28	28	08122019_Mitragynine_Oral_13point5_HQC4	QC	2:B,12	10.000	3.14	144091			144091.438	8.93	-10.7		2408648.000	
29	29	08122019_Mitragynine_Oral_13point5_LLOQ4a	QC	2:C,1	10.000	3.14	159158			159158.141	9.86	-1.4		2661374.000	
30	30	08122019_Mitragynine_Oral_13point5_LQC4a	QC	2:C,2	10.000	3.14	150537			150536.906	9.33	-6.7		2502740.000	
31	31	08122019_Mitragynine_Oral_13point5_MQC4a	QC	2:C,3	10.000	3.14	148526			148525.672	9.20	-8.0		2453214.000	
32	32	08122019_Mitragynine_Oral_13point5_HQC4a	QC	2:C,4	10.000	3.14	148441			148440.563	9.20	-8.0		2446440.000	
33	33	08122019_Mitragynine_Oral_13point5_LLOQ5	QC	2:C,5	10.000	3.14	147325			147325.203	9.13	-8.7		930853.031	
34	34	08122019_Mitragynine_Oral_13point5_LQC5	QC	2:C,6	10.000	3.14	147976			147975.984	9.17	-8.3		2439756.000	
35	35	08122019_Mitragynine_Oral_13point5_MQC5	QC	2:C,7	10.000	3.14	145903			145903.000	9.04	-9.6		2406669.000	
36	36	08122019_Mitragynine_Oral_13point5_HQC5	QC	2:C,8	10.000	3.14	149354			149353.906	9.25	-7.5		2455880.000	
37	37	08122019_Mitragynine_Oral_13point5_LLOQ6	QC	2:C,9	10.000	3.14	148063			148062.719	9.17	-8.3		2454125.000	
38	38	08122019_Mitragynine_Oral_13point5_LQC6	QC	2:C,10	10.000	3.14	146511			146511.422	9.08	-9.2		976292.155	
39	39	08122019_Mitragynine_Oral_13point5_MQC6	QC	2:C,11	10.000	3.14	145251			145251.328	9.00	-10.0		1058521.874	
40	40	08122019_Mitragynine_Oral_13point5_HQC6	QC	2:C,12	10.000	3.14	155349			155349.344	9.62	-3.8		2615713.000	
41	41	08122019_Mitragynine_Oral_13point5_R8647_PreDose	Analyte	2:D,1	10.000	3.14	164488			164488.453	10.19	1.9		382182.764	
42	42	08122019_Mitragynine_Oral_13point5_R8647_5Min_5X	Analyte	2:D,2	10.000	3.13	156093			156092.969	9.67	-3.3		2613583.000	
43	43	08122019_Mitragynine_Oral_13point5_R8647_10Min_5X	Analyte	2:D,3	10.000	3.13	148831			148831.109	9.22	-7.8		2483275.000	
44	44	08122019_Mitragynine_Oral_13point5_R8647_15Min_5X	Analyte	2:D,4	10.000	3.13	148131			148130.969	9.18	-8.2		638636.818	
45	45	08122019_Mitragynine_Oral_13point5_R8647_30Min_5X	Analyte	2:D,5	10.000	3.13	148312			148312.016	9.19	-8.1		2479941.000	
46	46	08122019_Mitragynine_Oral_13point5_R8647_45Min_5X	Analyte	2:D,6	10.000	3.13	151529			151529.313	9.39	-6.1		2535834.000	
47	47	08122019_Mitragynine_Oral_13point5_R8647_60Min_5X	Analyte	2:D,7	10.000	3.13	150203			150202.672	9.31	-6.9		2507089.000	
48	48	08122019_Mitragynine_Oral_13point5_R8647_2hr_5X	Analyte	2:D,8	10.000	3.13	148873			148873.203	9.22	-7.8		2479198.000	
49	49	08122019_Mitragynine_Oral_13point5_R8647_4hr_5X	Analyte	2:D,9	10.000	3.13	147581			147580.688	9.14	-8.6		2455286.000	
50	50	08122019_Mitragynine_Oral_13point5_R8647_6hr	Analyte	2:D,10	10.000	3.13	148183			148183.328	9.18	-8.2		2464142.000	
51	51	08122019_Mitragynine_Oral_13point5_R8647_8hr	Analyte	2:D,11	10.000	3.13	147632			147632.000	9.15	-8.5		2460702.000	
52	52	08122019_Mitragynine_Oral_13point5_R8647_12hr	Analyte	2:D,12	10.000	3.13	153795			153795.313	9.53	-4.7		2393085.167	
53	53	08122019_Mitragynine_Oral_13point5_R8647_24hr	Analyte	2:E,1	10.000	3.13	166605			166604.516	10.32	3.2		2794797.000	
54	54	08122019_Mitragynine_Oral_13point5_R8648_PreDose	Analyte	2:E,2	10.000	3.13	156588			156587.813	9.70	-3.0		2586706.000	
55	55	08122019_Mitragynine_Oral_13point5_R8648_5Min_5X	Analyte	2:E,3	10.000	3.13	152640			152640.156	9.46	-5.4		2541879.000	
56	56	08122019_Mitragynine_Oral_13point5_R8648_10Min_5X	Analyte	2:E,4	10.000	3.13	153996			153995.703	9.54	-4.6		2559998.000	
57	57	08122019_Mitragynine_Oral_13point5_R8648_15Min_5X	Analyte	2:E,5	10.000	3.13	149944			149944.375	9.29	-7.1		2481574.000	
58	58	08122019_Mitragynine_Oral_13point5_R8648_30Min_5X	Analyte	2:E,6	10.000	3.13	147695			147694.688	9.15	-8.5		2290317.415	
59	59	08122019_Mitragynine_Oral_13point5_R8648_45Min_5X	Analyte	2:E,7	10.000	3.13	144111			144110.797	8.93	-10.7		2385818.000	
60	60	08122019_Mitragynine_Oral_13point5_R8648_60Min_5X	Analyte	2:E,8	10.000	3.13	146306			146305.844	9.06	-9.4		2417702.000	
61	61	08122019_Mitragynine_Oral_13point5_R8648_2hr_5X	Analyte	2:E,9	10.000	3.13	144629			144628.641	8.96	-10.4		2381614.000	
62	62	08122019_Mitragynine_Oral_13point5_R8648_4hr_5X	Analyte	2:E,10	10.000	3.13	145645			145644.844	9.02	-9.8		2401822.000	
63	63	08122019_Mitragynine_Oral_13point5_R8648_6hr	Analyte	2:E,11	10.000	3.14	147046			147045.734	9.11	-8.9		2431265.000	
64	64	08122019_Mitragynine_Oral_13point5_R8648_8hr	Analyte	2:E,12	10.000	3.14	154007			154007.422	9.54	-4.6		2562585.000	
65	65	08122019_Mitragynine_Oral_13point5_R8648_12hr	Analyte	2:F,1	10.000	3.14	158821			158821.172	9.84	-1.6		2634480.000	
66	66	08122019_Mitragynine_Oral_13point5_R8648_24hr	Analyte	2:F,2	10.000	3.13	149836			149836.234	9.28	-7.2		2478514.000	
67	67	08122019_Mitragynine_Oral_13point5_R8650_PreDose	Analyte	2:F,3	10.000	3.14	149957			149956.563	9.29	-7.1		2467943.000	
68	68	08122019_Mitragynine_Oral_13point5_R8650_5Min_5X	Analyte	2:F,4	10.000	3.14	150407			150407.391	9.32	-6.8		2493006.000	
69	69	08122019_Mitragynine_Oral_13point5_R8650_10Min_5X	Analyte	2:F,5	10.000	3.14	146793			146793.016	9.09	-9.1		2434051.000	
70	70	08122019_Mitragynine_Oral_13point5_R8650_15Min_5X	Analyte	2:F,6	10.000	3.14	146655			146654.828	9.09	-9.1		2421195.000	
71	71	08122019_Mitragynine_Oral_13point5_R8650_30Min_5X	Analyte	2:F,7	10.000	3.14	145008			145008.453	8.98	-10.2		2395850.000	
72	72	08122019_Mitragynine_Oral_13point5_R8650_45Min_5X	Analyte	2:F,8	10.000	3.14	146524			146524.047	9.08	-9.2		2425533.000	
73	73	08122019_Mitragynine_Oral_13point5_R8650_60Min_5X	Analyte	2:F,9	10.000	3.14	142466			142466.063	8.83	-11.7		308678.985	
74	74	08122019_Mitragynine_Oral_13point5_R8650_2hr_5X	Analyte	2:F,10	10.000	3.14	145107			145106.609	8.99	-10.1		2414178.000	
75	75	08122019_Mitragynine_Oral_13point5_R8650_4hr_5X	Analyte	2:F,11	10.000	3.14	155036			155036.359	9.60	-4.0		2592086.000	
76	76	08122019_Mitragynine_Oral_13point5_R8650_6hr	Analyte	2:F,12	10.000	3.14	154110			154110.297	9.55	-4.5		2582129.000	
77	77	08122019_Mitragynine_Oral_13point5_R8650_8hr	Analyte	2:G,1	10.000	3.14	159629			159629.141	9.89	-1.1		1598275.408	
78	78	08122019_Mitragynine_Oral_13point5_R8650_12hr	Analyte	2:G,2	10.000	3.14	153289			153288.766	9.50	-5.0		2546157.000	
79	79	08122019_Mitragynine_Oral_13point5_R8650_24hr	Analyte	2:G,3	10.000	3.14	149124			149123.797	9.24	-7.6		2475954.000	
80	80	08122019_Mitragynine_Oral_13point5_R8649_PreDose	Analyte	2:G,4	10.000	3.14	146438			146438.063	9.07	-9.3		356277.983	
81	81	08122019_Mitragynine_Oral_13point5_R8649_5Min_5X	Analyte	2:G,5	10.000	3.14	150482			150481.859	9.32	-6.8		2504786.000	
82	82	08122019_Mitragynine_Oral_13point5_R8649_10Min_5X	Analyte	2:G,6	10.000	3.14	148879			148878.641	9.22	-7.8		2456591.000	
83	83	08122019_Mitragynine_Oral_13point5_R8649_15Min_5X	Analyte	2:G,7	10.000	3.14	148247			148247.438	9.18	-8.2		2449127.000	
84	84	08122019_Mitragynine_Oral_13point5_R8649_30Min_5X	Analyte	2:G,8	10.000	3.14	148114			148114.266	9.18	-8.2		2452136.000	
85	85	08122019_Mitragynine_Oral_13point5_R8649_45Min_5X	Analyte	2:G,9	10.000	3.14	147427			147427.078	9.13	-8.7		2437264.000	
86	86	08122019_Mitragynine_Oral_13point5_R8649_60Min_5X	Analyte	2:G,10	10.000	3.14	148686			148685.969	9.21	-7.9		2464811.000	
87	87	08122019_Mitragynine_Oral_13point5_R8649_2hr_5X	Analyte	2:G,11	10.000	3.14	155597			155596.625	9.64	-3.6		2581818.000	
88	88	08122019_Mitragynine_Oral_13point5_R8649_4hr_5X	Analyte	2:G,12	10.000	3.14	159214			159213.938	9.86	-1.4		432780.398	
89	89	08122019_Mitragynine_Oral_13point5_R8649_6hr	Analyte	2:H,1	10.000	3.14	160042			160041.703	9.91	-0.9		2672545.000	
90	90	08122019_Mitragynine_Oral_13point5_R8649_8hr	Analyte	2:H,2	10.000	3.14	158281			158280.703	9.81	-1.9		2636867.000	
91	91	08122019_Mitragynine_Oral_13point5_R8649_12hr	Analyte	2:H,3	10.000	3.14	156005			156005.328	9.66	-3.4		2598349.000	
92	92	08122019_Mitragynine_Oral_13point5_R8649_24hr	Analyte	2:H,4	10.000	3.14	156094			156094.063	9.67	-3.3		2602600.000	

Compound 4:  Ketoconazole

	#	Name	Type	Vial	Std. Conc	RT	Area	IS Area	Area Ratio	Response	Conc.	%Dev	Subject Text	S/N	Summary Flag Reason
1	1	08122019_Mitragynine_Oral_13point5_CS0x		2:H,9											
1	1	08122019_Mitragynine_Oral_13point5_CS0		2:H,9											
2	2	08122019_Mitragynine_Oral_13point5_CS0_IS		2:H,10				159479							
3	3	08122019_Mitragynine_Oral_13point5_CS1	Standard	2:A,1	1.000			170667							
4	4	08122019_Mitragynine_Oral_13point5_CS2	Standard	2:A,2	2.500			159251							
5	5	08122019_Mitragynine_Oral_13point5_CS3	Standard	2:A,3	5.000			158363							
6	6	08122019_Mitragynine_Oral_13point5_CS4	Standard	2:A,4	20.000			165536							
7	7	08122019_Mitragynine_Oral_13point5_CS5	Standard	2:A,5	50.000			158054							
8	8	08122019_Mitragynine_Oral_13point5_CS6	Standard	2:A,6	100.000			162424							
9	9	08122019_Mitragynine_Oral_13point5_CS7	Standard	2:A,7	150.000			159296							
10	10	08122019_Mitragynine_Oral_13point5_CS8	Standard	2:A,8	200.000			157756							
11	11	08122019_Mitragynine_Oral_13point5_CS0_ISAfter		2:H,10				160024							
12	12	08122019_Mitragynine_Oral_13point5_CS0_After		2:H,9				163							
13	13	08122019_Mitragynine_Oral_13point5_LLOQ1	QC	2:A,9	1.000			159104							
14	14	08122019_Mitragynine_Oral_13point5_LQC1	QC	2:A,10	3.000			160122							
15	15	08122019_Mitragynine_Oral_13point5_MQC1	QC	2:A,11	90.000			157004							
16	16	08122019_Mitragynine_Oral_13point5_HQC1	QC	2:A,12	180.000			162136							
17	17	08122019_Mitragynine_Oral_13point5_LLOQ2	QC	2:B,1	1.000			164793							
18	18	08122019_Mitragynine_Oral_13point5_LQC2	QC	2:B,2	3.000			158846							
19	19	08122019_Mitragynine_Oral_13point5_MQC2	QC	2:B,3	90.000			151639							
20	20	08122019_Mitragynine_Oral_13point5_HQC2	QC	2:B,4	180.000			150644							
21	21	08122019_Mitragynine_Oral_13point5_LLOQ3	QC	2:B,5	1.000			143846							
22	22	08122019_Mitragynine_Oral_13point5_LQC3	QC	2:B,6	3.000			146753							
23	23	08122019_Mitragynine_Oral_13point5_MQC3	QC	2:B,7	90.000			146919							
24	24	08122019_Mitragynine_Oral_13point5_HQC3	QC	2:B,8	180.000			144225							
25	25	08122019_Mitragynine_Oral_13point5_LLOQ4	QC	2:B,9	1.000			142853							
26	26	08122019_Mitragynine_Oral_13point5_LQC4	QC	2:B,10	3.000			145714							
27	27	08122019_Mitragynine_Oral_13point5_MQC4	QC	2:B,11	90.000			141583							
28	28	08122019_Mitragynine_Oral_13point5_HQC4	QC	2:B,12	180.000			144091							
29	29	08122019_Mitragynine_Oral_13point5_LLOQ4a	QC	2:C,1	1.000			159158							
30	30	08122019_Mitragynine_Oral_13point5_LQC4a	QC	2:C,2	3.000			150537							
31	31	08122019_Mitragynine_Oral_13point5_MQC4a	QC	2:C,3	90.000			148526							
32	32	08122019_Mitragynine_Oral_13point5_HQC4a	QC	2:C,4	180.000			148441							
33	33	08122019_Mitragynine_Oral_13point5_LLOQ5	QC	2:C,5	1.000			147325							
34	34	08122019_Mitragynine_Oral_13point5_LQC5	QC	2:C,6	3.000			147976							
35	35	08122019_Mitragynine_Oral_13point5_MQC5	QC	2:C,7	90.000			145903							
36	36	08122019_Mitragynine_Oral_13point5_HQC5	QC	2:C,8	180.000			149354							
37	37	08122019_Mitragynine_Oral_13point5_LLOQ6	QC	2:C,9	1.000			148063							
38	38	08122019_Mitragynine_Oral_13point5_LQC6	QC	2:C,10	3.000			146511							
39	39	08122019_Mitragynine_Oral_13point5_MQC6	QC	2:C,11	90.000			145251							
40	40	08122019_Mitragynine_Oral_13point5_HQC6	QC	2:C,12	180.000			155349							
41	41	08122019_Mitragynine_Oral_13point5_R8647_PreDose	Analyte	2:D,1				164488							
42	42	08122019_Mitragynine_Oral_13point5_R8647_5Min_5X	Analyte	2:D,2				156093							
43	43	08122019_Mitragynine_Oral_13point5_R8647_10Min_5X	Analyte	2:D,3				148831							
44	44	08122019_Mitragynine_Oral_13point5_R8647_15Min_5X	Analyte	2:D,4				148131							
45	45	08122019_Mitragynine_Oral_13point5_R8647_30Min_5X	Analyte	2:D,5				148312							
46	46	08122019_Mitragynine_Oral_13point5_R8647_45Min_5X	Analyte	2:D,6				151529							
47	47	08122019_Mitragynine_Oral_13point5_R8647_60Min_5X	Analyte	2:D,7				150203							
48	48	08122019_Mitragynine_Oral_13point5_R8647_2hr_5X	Analyte	2:D,8				148873							
49	49	08122019_Mitragynine_Oral_13point5_R8647_4hr_5X	Analyte	2:D,9				147581							
50	50	08122019_Mitragynine_Oral_13point5_R8647_6hr	Analyte	2:D,10				148183							
51	51	08122019_Mitragynine_Oral_13point5_R8647_8hr	Analyte	2:D,11				147632							
52	52	08122019_Mitragynine_Oral_13point5_R8647_12hr	Analyte	2:D,12				153795							
53	53	08122019_Mitragynine_Oral_13point5_R8647_24hr	Analyte	2:E,1				166605							
54	54	08122019_Mitragynine_Oral_13point5_R8648_PreDose	Analyte	2:E,2				156588							
55	55	08122019_Mitragynine_Oral_13point5_R8648_5Min_5X	Analyte	2:E,3				152640							
56	56	08122019_Mitragynine_Oral_13point5_R8648_10Min_5X	Analyte	2:E,4				153996							
57	57	08122019_Mitragynine_Oral_13point5_R8648_15Min_5X	Analyte	2:E,5				149944							
58	58	08122019_Mitragynine_Oral_13point5_R8648_30Min_5X	Analyte	2:E,6				147695							
59	59	08122019_Mitragynine_Oral_13point5_R8648_45Min_5X	Analyte	2:E,7				144111							
60	60	08122019_Mitragynine_Oral_13point5_R8648_60Min_5X	Analyte	2:E,8				146306							
61	61	08122019_Mitragynine_Oral_13point5_R8648_2hr_5X	Analyte	2:E,9				144629							
62	62	08122019_Mitragynine_Oral_13point5_R8648_4hr_5X	Analyte	2:E,10				145645							
63	63	08122019_Mitragynine_Oral_13point5_R8648_6hr	Analyte	2:E,11				147046							
64	64	08122019_Mitragynine_Oral_13point5_R8648_8hr	Analyte	2:E,12				154007							
65	65	08122019_Mitragynine_Oral_13point5_R8648_12hr	Analyte	2:F,1				158821							
66	66	08122019_Mitragynine_Oral_13point5_R8648_24hr	Analyte	2:F,2				149836							
67	67	08122019_Mitragynine_Oral_13point5_R8650_PreDose	Analyte	2:F,3				149957							
68	68	08122019_Mitragynine_Oral_13point5_R8650_5Min_5X	Analyte	2:F,4				150407							
69	69	08122019_Mitragynine_Oral_13point5_R8650_10Min_5X	Analyte	2:F,5				146793							
70	70	08122019_Mitragynine_Oral_13point5_R8650_15Min_5X	Analyte	2:F,6				146655							
71	71	08122019_Mitragynine_Oral_13point5_R8650_30Min_5X	Analyte	2:F,7				145008							
72	72	08122019_Mitragynine_Oral_13point5_R8650_45Min_5X	Analyte	2:F,8				146524							
73	73	08122019_Mitragynine_Oral_13point5_R8650_60Min_5X	Analyte	2:F,9				142466							
74	74	08122019_Mitragynine_Oral_13point5_R8650_2hr_5X	Analyte	2:F,10				145107							
75	75	08122019_Mitragynine_Oral_13point5_R8650_4hr_5X	Analyte	2:F,11				155036							
76	76	08122019_Mitragynine_Oral_13point5_R8650_6hr	Analyte	2:F,12				154110							
77	77	08122019_Mitragynine_Oral_13point5_R8650_8hr	Analyte	2:G,1				159629							
78	78	08122019_Mitragynine_Oral_13point5_R8650_12hr	Analyte	2:G,2				153289							
79	79	08122019_Mitragynine_Oral_13point5_R8650_24hr	Analyte	2:G,3				149124							
80	80	08122019_Mitragynine_Oral_13point5_R8649_PreDose	Analyte	2:G,4				146438							
81	81	08122019_Mitragynine_Oral_13point5_R8649_5Min_5X	Analyte	2:G,5				150482							
82	82	08122019_Mitragynine_Oral_13point5_R8649_10Min_5X	Analyte	2:G,6				148879							
83	83	08122019_Mitragynine_Oral_13point5_R8649_15Min_5X	Analyte	2:G,7				148247							
84	84	08122019_Mitragynine_Oral_13point5_R8649_30Min_5X	Analyte	2:G,8				148114							
85	85	08122019_Mitragynine_Oral_13point5_R8649_45Min_5X	Analyte	2:G,9				147427							
86	86	08122019_Mitragynine_Oral_13point5_R8649_60Min_5X	Analyte	2:G,10				148686							
87	87	08122019_Mitragynine_Oral_13point5_R8649_2hr_5X	Analyte	2:G,11				155597							
88	88	08122019_Mitragynine_Oral_13point5_R8649_4hr_5X	Analyte	2:G,12				159214							
89	89	08122019_Mitragynine_Oral_13point5_R8649_6hr	Analyte	2:H,1				160042							
90	90	08122019_Mitragynine_Oral_13point5_R8649_8hr	Analyte	2:H,2				158281							
91	91	08122019_Mitragynine_Oral_13point5_R8649_12hr	Analyte	2:H,3				156005							
92	92	08122019_Mitragynine_Oral_13point5_R8649_24hr	Analyte	2:H,4				156094							

