Quantify Compound Summary Report 

Printed Sun Apr 13 13:07:31 2025

Compound 1:  Oxycodone

	#	Name	Subject Text	Vial	Type	Std. Conc	RT	Area	IS Area	Area Ratio	Primary Flags	Conc.	%Dev	S/N
87	87	03312025_MQC_50X_3		1:F,8	QC	90.000	2.34	428510.813	77455.695	5.53	bb	85.514	-5.0	275603.329
88	88	03312025_MQC_50X_4		1:F,9	QC	90.000	2.34	435651.969	74121.977	5.88	bb	90.885	1.0	5068788.000
89	89	03312025_MQC_50X_5		1:F,10	QC	90.000	2.34	401162.594	75024.852	5.35	bb	82.630	-8.2	4592108.000
90	90	03312025_MQC_50X_6		1:F,11	QC	90.000	2.34	451487.594	77584.188	5.82	bb	89.980	-0.0	1399790.718
91	91	03312025_HQC_50X_1		1:F,12	QC	90.000	2.34	418511.813	76041.063	5.50	bb	85.069	-5.5	4886371.000
92	92	03312025_HQC_50X_2		1:G,7	QC	180.000	2.34	704403.563	79119.625	8.90	bb	137.970	-23.3	390342.907
93	93	03312025_HQC_50X_3		1:G,8	QC	180.000	2.34	869363.938	78106.773	11.13	bb	172.635	-4.1	643279.330
94	94	03312025_HQC_50X_4		1:G,9	QC	180.000	2.34	988254.313	77226.180	12.80	bb	198.569	10.3	11612525.000
95	95	03312025_HQC_50X_5		1:G,10	QC	180.000	2.34	858936.313	77404.992	11.10	bb	172.109	-4.4	10003406.000
96	96	03312025_HQC_50X_6		1:G,11	QC	180.000	2.34	879994.375	80363.227	10.95	bb	169.830	-5.7	10243322.000
97	97	03312025_CS05		1:G,12	QC	180.000	2.34	938214.813	82557.984	11.36	bb	176.274	-2.1	154686.371
98	98	03312025Blank1		1:A,11			2.34	30056.982			bb			44764.970

Compound 2:  VERAPAMIL

	#	Name	Subject Text	Vial	Type	Std. Conc	RT	Area	IS Area	Area Ratio	Primary Flags	Conc.	%Dev	S/N
1	1	03272025Blank1		1:A,11					16.608					
2	2	03312025Blank		1:A,11					1960.207					
3	3	03312025_CS0		1:A,11										
4	4	03312025_CS_IS		1:A,10					53664.023					
5	5	03312025_SST1		1:A,12					102645.570					
6	6	03312025_SST2		1:A,12					117290.578					
7	7	03312025_SST3		1:A,12					109042.867					
8	8	03312025_SST4		1:A,12					111674.156					
9	9	03312025_SST5		1:A,12					111503.609					
10	10	03312025_SST6		1:A,12					115015.328					
11	11	03312025_CS_IS_1		1:A,10					60104.840					
12	12	03312025_SET1_SLLOQ_1		1:A,1	Standard	0.500			56252.664					
13	13	03312025_SET1_CS_1		1:A,2	Standard	1.000			58473.918					
14	14	03312025_SET1_CS_2		1:A,3	Standard	2.000			56899.859					
15	15	03312025_SET1_CS_3		1:A,4	Standard	5.000			58362.453					
16	16	03312025_SET1_CS_4		1:A,5	Standard	10.000			58501.414					
17	17	03312025_SET1_CS_5		1:A,6	Standard	20.000			58340.004					
18	18	03312025_SET1_CS_6		1:A,7	Standard	50.000			65352.227					
19	19	03312025_SET1_CS_7		1:A,8	Standard	100.000			63148.488					
20	20	03312025_SET1_CS_8		1:A,9	Standard	200.000			63288.523					
21	21	03312025_CS01		1:A,11					131.216					
22	22	03312025_SET2_SLLOQ_1		1:B,1	Standard	0.500			61747.797					
23	23	03312025_SET2_CS_1		1:B,2	Standard	1.000			63013.238					
24	24	03312025_SET2_CS_2		1:B,3	Standard	2.000			63577.492					
25	25	03312025_SET2_CS_3		1:B,4	Standard	5.000			62581.219					
26	26	03312025_SET2_CS_4		1:B,5	Standard	10.000			63921.625					
27	27	03312025_SET2_CS_5		1:B,6	Standard	20.000			67881.633					
28	28	03312025_SET2_CS_6		1:B,7	Standard	50.000			64674.961					
29	29	03312025_SET2_CS_7		1:B,8	Standard	100.000			66492.352					
30	30	03312025_SET2_CS_8		1:B,9	Standard	200.000			66353.906					
31	31	03312025_CS02		1:A,11					298.416					
32	32	03312025_SET3_SLLOQ_1		1:C,1	Standard	0.500			64821.926					
33	33	03312025_SET3_CS_1		1:C,2	Standard	1.000			63191.672					
34	34	03312025_SET3_CS_2		1:C,3	Standard	2.000			66745.484					
35	35	03312025_SET3_CS_3		1:C,4	Standard	5.000			69638.992					
36	36	03312025_SET3_CS_4		1:C,5	Standard	10.000			65044.754					
37	37	03312025_SET3_CS_5		1:C,6	Standard	20.000			67234.922					
38	38	03312025_SET3_CS_6		1:C,7	Standard	50.000			66160.516					
39	39	03312025_SET3_CS_7		1:C,8	Standard	100.000			69014.742					
40	40	03312025_SET3_CS_8		1:C,9	Standard	200.000			69680.641					
41	41	03312025_CS03		1:A,11										
42	42	03312025_SET_1_LLOQ_0point25_1		1:A,11	QC	0.250								
43	43	03312025_SET_1_LLOQ_0point25_2		1:B,10	QC	0.250			69905.125					
44	44	03312025_SET_1_LLOQ_0point25_3		1:B,11	QC	0.250			71431.820					
45	45	03312025_SET_1_LLOQ_0point25_4		1:B,12	QC	0.250			71578.898					
46	46	03312025_SET_1_LLOQ_0point25_5		1:C,10	QC	0.250			71640.453					
47	47	03312025_SET_1_LLOQ_0point25_6		1:C,11	QC	0.250			72431.695					
48	48	03312025_LLOQ_1		1:C,12	QC	1.000			75293.164					
49	49	03312025_LLOQ_2		1:D,1	QC	1.000			72873.500					
50	50	03312025_LLOQ_3		1:D,2	QC	1.000			72014.016					
51	51	03312025_LLOQ_4		1:D,3	QC	1.000			73101.703					
52	52	03312025_LLOQ_5		1:D,4	QC	1.000			72764.813					
53	53	03312025_LLOQ_6		1:D,5	QC	1.000			71300.742					
54	54	03312025_LQC_1		1:D,6	QC	3.000			72417.805					
55	55	03312025_LQC_2		1:E,1	QC	3.000			70647.492					
56	56	03312025_LQC_3		1:E,2	QC	3.000			72843.180					
57	57	03312025_LQC_4		1:E,3	QC	3.000			73227.852					
58	58	03312025_LQC_5		1:E,4	QC	3.000			72883.906					
59	59	03312025_LQC_6		1:E,5	QC	3.000			73851.055					
60	60	03312025_MQC_1		1:E,6	QC	90.000			75260.617					
61	61	03312025_MQC_2		1:F,1	QC	90.000			73233.742					
62	62	03312025_MQC_3		1:F,2	QC	90.000			73836.438					
63	63	03312025_MQC_4		1:F,3	QC	90.000			74781.148					
64	64	03312025_MQC_5		1:F,4	QC	90.000			74251.273					
65	65	03312025_MQC_6		1:F,5	QC	90.000			75179.016					
66	66	03312025_HQC_1		1:F,6	QC	180.000			77726.305					
67	67	03312025_HQC_2		1:G,1	QC	180.000			73013.672					
68	68	03312025_HQC_3		1:G,2	QC	180.000			75127.789					
69	69	03312025_HQC_4		1:G,3	QC	180.000			75388.203					
70	70	03312025_HQC_5		1:G,4	QC	180.000			74785.922					
71	71	03312025_HQC_6		1:G,5	QC	180.000			75344.195					
72	72	03312025_CS04		1:G,6					74677.242					
73	73	03312025_LLOQ_50X_1		1:H,1										
74	74	03312025_LLOQ_50X_2		1:D,7	QC	1.000			74881.727					
75	75	03312025_LLOQ_50X_3		1:D,8	QC	1.000			76546.078					
76	76	03312025_LLOQ_50X_4		1:D,9	QC	1.000			78314.813					
77	77	03312025_LLOQ_50X_5		1:D,10	QC	1.000			78132.773					
78	78	03312025_LLOQ_50X_6		1:D,11	QC	1.000			77180.477					
79	79	03312025_LQC_50X_1		1:D,12	QC	1.000			75666.789					
80	80	03312025_LQC_50X_2		1:E,7	QC	3.000			74785.750					
81	81	03312025_LQC_50X_3		1:E,8	QC	3.000			74767.727					
82	82	03312025_LQC_50X_4		1:E,9	QC	3.000			77130.891					
83	83	03312025_LQC_50X_5		1:E,10	QC	3.000			75162.961					
84	84	03312025_LQC_50X_6		1:E,11	QC	3.000			77523.609					
85	85	03312025_MQC_50X_1		1:E,12	QC	3.000			77042.938					
86	86	03312025_MQC_50X_2		1:F,7	QC	90.000			76388.578					
87	87	03312025_MQC_50X_3		1:F,8	QC	90.000			77455.695					
88	88	03312025_MQC_50X_4		1:F,9	QC	90.000			74121.977					
89	89	03312025_MQC_50X_5		1:F,10	QC	90.000			75024.852					
90	90	03312025_MQC_50X_6		1:F,11	QC	90.000			77584.188					
91	91	03312025_HQC_50X_1		1:F,12	QC	90.000			76041.063					
92	92	03312025_HQC_50X_2		1:G,7	QC	180.000			79119.625					
93	93	03312025_HQC_50X_3		1:G,8	QC	180.000			78106.773					
94	94	03312025_HQC_50X_4		1:G,9	QC	180.000			77226.180					
95	95	03312025_HQC_50X_5		1:G,10	QC	180.000			77404.992					
96	96	03312025_HQC_50X_6		1:G,11	QC	180.000			80363.227					
97	97	03312025_CS05		1:G,12	QC	180.000			82557.984					
98	98	03312025Blank1		1:A,11										

Compound 3:  Oxycodone_D3

	#	Name	Subject Text	Vial	Type	Std. Conc	RT	Area	IS Area	Area Ratio	Primary Flags	Conc.	%Dev	S/N
1	1	03272025Blank1		1:A,11		10.000	2.35	16.608			bb	0.003	-100.0	441.000
2	2	03312025Blank		1:A,11		10.000	2.52	1960.207			bb	0.308	-96.9	16303.000
3	3	03312025_CS0		1:A,11		10.000								
4	4	03312025_CS_IS		1:A,10		10.000	2.37	53664.023			bb	8.422	-15.8	622200.000
5	5	03312025_SST1		1:A,12		10.000	2.37	102645.570			bb	16.109	61.1	1034097.000
6	6	03312025_SST2		1:A,12		10.000	2.37	117290.578			bb	18.408	84.1	55774.661
7	7	03312025_SST3		1:A,12		10.000	2.37	109042.867			bb	17.113	71.1	39846.857
8	8	03312025_SST4		1:A,12		10.000	2.37	111674.156			bb	17.526	75.3	1134076.000
9	9	03312025_SST5		1:A,12		10.000	2.37	111503.609			bb	17.499	75.0	1128145.000
10	10	03312025_SST6		1:A,12		10.000	2.37	115015.328			bb	18.051	80.5	1156817.000
11	11	03312025_CS_IS_1		1:A,10		10.000	2.37	60104.840			bb	9.433	-5.7	689971.000
12	12	03312025_SET1_SLLOQ_1		1:A,1	Standard	10.000	2.37	56252.664			bb	8.828	-11.7	642179.000
13	13	03312025_SET1_CS_1		1:A,2	Standard	10.000	2.37	58473.918			bb	9.177	-8.2	668874.000
14	14	03312025_SET1_CS_2		1:A,3	Standard	10.000	2.37	56899.859			bb	8.930	-10.7	651030.000
15	15	03312025_SET1_CS_3		1:A,4	Standard	10.000	2.37	58362.453			bb	9.159	-8.4	670198.000
16	16	03312025_SET1_CS_4		1:A,5	Standard	10.000	2.37	58501.414			bb	9.181	-8.2	666312.000
17	17	03312025_SET1_CS_5		1:A,6	Standard	10.000	2.37	58340.004			bb	9.156	-8.4	662326.000
18	18	03312025_SET1_CS_6		1:A,7	Standard	10.000	2.37	65352.227			bb	10.256	2.6	24358.327
19	19	03312025_SET1_CS_7		1:A,8	Standard	10.000	2.37	63148.488			bb	9.911	-0.9	719223.000
20	20	03312025_SET1_CS_8		1:A,9	Standard	10.000	2.38	63288.523			bb	9.933	-0.7	727344.000
21	21	03312025_CS01		1:A,11		10.000	2.32	131.216			bb	0.021	-99.8	30.617
22	22	03312025_SET2_SLLOQ_1		1:B,1	Standard	10.000	2.37	61747.797			bb	9.691	-3.1	25134.809
23	23	03312025_SET2_CS_1		1:B,2	Standard	10.000	2.37	63013.238			bb	9.889	-1.1	724648.000
24	24	03312025_SET2_CS_2		1:B,3	Standard	10.000	2.37	63577.492			bb	9.978	-0.2	717376.000
25	25	03312025_SET2_CS_3		1:B,4	Standard	10.000	2.37	62581.219			bb	9.822	-1.8	716688.000
26	26	03312025_SET2_CS_4		1:B,5	Standard	10.000	2.37	63921.625			bb	10.032	0.3	732231.000
27	27	03312025_SET2_CS_5		1:B,6	Standard	10.000	2.37	67881.633			bb	10.653	6.5	35758.781
28	28	03312025_SET2_CS_6		1:B,7	Standard	10.000	2.37	64674.961			bb	10.150	1.5	740007.000
29	29	03312025_SET2_CS_7		1:B,8	Standard	10.000	2.37	66492.352			bb	10.435	4.4	53703.430
30	30	03312025_SET2_CS_8		1:B,9	Standard	10.000	2.37	66353.906			bb	10.414	4.1	11509.544
31	31	03312025_CS02		1:A,11		10.000	2.35	298.416			bb	0.047	-99.5	2959.000
32	32	03312025_SET3_SLLOQ_1		1:C,1	Standard	10.000	2.37	64821.926			bb	10.173	1.7	753946.000
33	33	03312025_SET3_CS_1		1:C,2	Standard	10.000	2.37	63191.672			bb	9.917	-0.8	722230.000
34	34	03312025_SET3_CS_2		1:C,3	Standard	10.000	2.37	66745.484			bb	10.475	4.8	776352.000
35	35	03312025_SET3_CS_3		1:C,4	Standard	10.000	2.37	69638.992			bb	10.929	9.3	803752.000
36	36	03312025_SET3_CS_4		1:C,5	Standard	10.000	2.37	65044.754			bb	10.208	2.1	745313.000
37	37	03312025_SET3_CS_5		1:C,6	Standard	10.000	2.37	67234.922			bb	10.552	5.5	780145.000
38	38	03312025_SET3_CS_6		1:C,7	Standard	10.000	2.37	66160.516			bb	10.383	3.8	755277.000
39	39	03312025_SET3_CS_7		1:C,8	Standard	10.000	2.37	69014.742			bb	10.831	8.3	58554.858
40	40	03312025_SET3_CS_8		1:C,9	Standard	10.000	2.37	69680.641			bb	10.936	9.4	800644.000
41	41	03312025_CS03		1:A,11		10.000								
42	42	03312025_SET_1_LLOQ_0point25_1		1:A,11	QC	10.000								
43	43	03312025_SET_1_LLOQ_0point25_2		1:B,10	QC	10.000	2.37	69905.125			bb	10.971	9.7	807045.000
44	44	03312025_SET_1_LLOQ_0point25_3		1:B,11	QC	10.000	2.37	71431.820			bb	11.211	12.1	819845.000
45	45	03312025_SET_1_LLOQ_0point25_4		1:B,12	QC	10.000	2.37	71578.898			bb	11.234	12.3	30140.564
46	46	03312025_SET_1_LLOQ_0point25_5		1:C,10	QC	10.000	2.37	71640.453			bb	11.243	12.4	830908.000
47	47	03312025_SET_1_LLOQ_0point25_6		1:C,11	QC	10.000	2.37	72431.695			bb	11.367	13.7	27791.990
48	48	03312025_LLOQ_1		1:C,12	QC	10.000	2.37	75293.164			bb	11.817	18.2	872909.000
49	49	03312025_LLOQ_2		1:D,1	QC	10.000	2.37	72873.500			bb	11.437	14.4	841708.000
50	50	03312025_LLOQ_3		1:D,2	QC	10.000	2.37	72014.016			bb	11.302	13.0	836325.000
51	51	03312025_LLOQ_4		1:D,3	QC	10.000	2.37	73101.703			bb	11.473	14.7	841785.000
52	52	03312025_LLOQ_5		1:D,4	QC	10.000	2.37	72764.813			bb	11.420	14.2	39145.908
53	53	03312025_LLOQ_6		1:D,5	QC	10.000	2.37	71300.742			bb	11.190	11.9	807215.000
54	54	03312025_LQC_1		1:D,6	QC	10.000	2.37	72417.805			bb	11.365	13.7	833557.000
55	55	03312025_LQC_2		1:E,1	QC	10.000	2.37	70647.492			bb	11.087	10.9	818935.000
56	56	03312025_LQC_3		1:E,2	QC	10.000	2.37	72843.180			bb	11.432	14.3	835641.000
57	57	03312025_LQC_4		1:E,3	QC	10.000	2.37	73227.852			bb	11.492	14.9	842307.000
58	58	03312025_LQC_5		1:E,4	QC	10.000	2.37	72883.906			bb	11.438	14.4	834310.000
59	59	03312025_LQC_6		1:E,5	QC	10.000	2.37	73851.055			bb	11.590	15.9	856229.000
60	60	03312025_MQC_1		1:E,6	QC	10.000	2.37	75260.617			bb	11.811	18.1	33821.310
61	61	03312025_MQC_2		1:F,1	QC	10.000	2.37	73233.742			bb	11.493	14.9	849243.000
62	62	03312025_MQC_3		1:F,2	QC	10.000	2.37	73836.438			bb	11.588	15.9	50487.605
63	63	03312025_MQC_4		1:F,3	QC	10.000	2.37	74781.148			bb	11.736	17.4	29846.410
64	64	03312025_MQC_5		1:F,4	QC	10.000	2.37	74251.273			bb	11.653	16.5	847123.000
65	65	03312025_MQC_6		1:F,5	QC	10.000	2.37	75179.016			bb	11.799	18.0	866896.000
66	66	03312025_HQC_1		1:F,6	QC	10.000	2.37	77726.305			bb	12.198	22.0	47835.237
67	67	03312025_HQC_2		1:G,1	QC	10.000	2.37	73013.672			bb	11.459	14.6	853132.000
68	68	03312025_HQC_3		1:G,2	QC	10.000	2.37	75127.789			bb	11.791	17.9	876475.000
69	69	03312025_HQC_4		1:G,3	QC	10.000	2.37	75388.203			bb	11.831	18.3	862704.000
70	70	03312025_HQC_5		1:G,4	QC	10.000	2.37	74785.922			bb	11.737	17.4	861539.000
71	71	03312025_HQC_6		1:G,5	QC	10.000	2.37	75344.195			bb	11.825	18.2	876893.000
72	72	03312025_CS04		1:G,6		10.000	2.37	74677.242			bb	11.720	17.2	855003.000
73	73	03312025_LLOQ_50X_1		1:H,1		10.000								
74	74	03312025_LLOQ_50X_2		1:D,7	QC	10.000	2.37	74881.727			bb	11.752	17.5	887725.000
75	75	03312025_LLOQ_50X_3		1:D,8	QC	10.000	2.37	76546.078			bb	12.013	20.1	38954.215
76	76	03312025_LLOQ_50X_4		1:D,9	QC	10.000	2.37	78314.813			bb	12.291	22.9	925892.000
77	77	03312025_LLOQ_50X_5		1:D,10	QC	10.000	2.37	78132.773			bb	12.262	22.6	921797.000
78	78	03312025_LLOQ_50X_6		1:D,11	QC	10.000	2.37	77180.477			bb	12.113	21.1	918385.000
79	79	03312025_LQC_50X_1		1:D,12	QC	10.000	2.37	75666.789			bb	11.875	18.8	19378.999
